id,amount,asset_name,asset_id,datetime,sender_name,recipient_name,sender_id,recipient_id
1.11.405084448,1,MONEDAPAR.AI,1.3.1319,2018-08-08 15:41:15-03:00,pamelaps,sladdaga,1.2.667678,1.2.875651
1.11.162318888,1,MONEDAPAR.AI,1.3.1319,2018-03-29 17:57:06-03:00,pabloc,manuelmarchi,1.2.155942,1.2.837724
1.11.151728823,1,MONEDAPAR.AI,1.3.1319,2018-03-10 15:02:36-03:00,pabloc,silvia,1.2.155942,1.2.763664
1.11.151341309,1,MONEDAPAR.AI,1.3.1319,2018-03-09 19:37:48-03:00,pabloc,ferbq73o,1.2.155942,1.2.635723
1.11.147042976,1,MONEDAPAR.AI,1.3.1319,2018-03-02 07:53:21-03:00,pabloc,pablobring,1.2.155942,1.2.781055
1.11.89176425,1,MONEDAPAR.AI,1.3.1319,2017-11-14 09:44:51-03:00,daniel,isabel,1.2.437302,1.2.461549
1.11.85822301,1,MONEDAPAR.AI,1.3.1319,2017-11-08 06:29:57-03:00,pabloc,martinjabon,1.2.155942,1.2.432118
1.11.84441686,1,MONEDAPAR.AI,1.3.1319,2017-11-03 10:33:30-03:00,daniel,adriancuello,1.2.437302,1.2.438313
1.11.81843950,1,MONEDAPAR.AI,1.3.1319,2017-10-25 19:05:57-03:00,nahummirad,yonati,1.2.414836,1.2.307697
1.11.81843187,1,MONEDAPAR.AI,1.3.1319,2017-10-25 19:03:03-03:00,nahummirad,clauar,1.2.414836,1.2.448521
1.11.81840335,1,MONEDAPAR.AX,1.3.1322,2017-10-25 18:44:06-03:00,nahummirad,daniel,1.2.414836,1.2.437302
1.11.81840334,1,MONEDAPAR.AI,1.3.1319,2017-10-25 18:44:06-03:00,nahummirad,daniel,1.2.414836,1.2.437302
1.11.81840233,1,MONEDAPAR.AI,1.3.1319,2017-10-25 18:43:00-03:00,nahummirad,irazmai3327,1.2.414836,1.2.448512
1.11.81840141,1,MONEDAPAR.AI,1.3.1319,2017-10-25 18:42:33-03:00,nahummirad,genaro70,1.2.414836,1.2.448513
1.11.81840022,1,MONEDAPAR.AI,1.3.1319,2017-10-25 18:42:15-03:00,nahummirad,fernando,1.2.414836,1.2.448509
1.11.81839930,1,MONEDAPAR.AI,1.3.1319,2017-10-25 18:42:06-03:00,nahummirad,fernando,1.2.414836,1.2.448509
